Date,Real GDP Growth,Real Disposable Income Growth,Unemployment Rate,CPI Inflation Rate,3 Month Treasury,5 Year Treasury,10 Year Treausry,BBB Corporate Yield,Mortgage Rate,Prime Rate,House Price Index pct chg,Commercial Real Estate Price Index pct chg,Market Volatility Index (VIX) pct chg,Dow Jones Total Stock Market Index pct chg
2001 Q2,2.1,-0.3,4.4,2.8,3.7,4.9,5.5,7.5,7.1,7.3,1.868327402,-0.568181818,5.792682927,7.151109817
2001 Q3,-1.2,9.8,4.8,1.1,3.2,4.6,5.3,7.3,7,6.6,1.92139738,2.642857143,25.93659942,-16.16698226
2001 Q4,1,-4.9,5.5,-0.3,1.9,4.2,5.1,7.2,6.8,5.2,2.05655527,-4.0361865,-19.22196796,11.97009307
2002 Q1,3.8,10.1,5.7,1.3,1.7,4.5,5.4,7.6,7,4.8,1.847187238,1.305293691,-26.06232295,0.635057015
2002 Q2,2.2,2,5.8,3.2,1.7,4.5,5.4,7.6,6.8,4.8,2.473206925,-1.646385111,8.812260536,-12.91517024
2002 Q3,1.9,-0.5,5.7,2.2,1.6,3.4,4.5,7.3,6.3,4.8,2.815768302,2.547307132,58.8028169,-17.16112532
2002 Q4,0.2,1.9,5.9,2.4,1.3,3.1,4.3,7,6.1,4.5,2.034428795,2.342086586,-5.543237251,7.327364413
2003 Q1,2,1.2,5.9,4.2,1.2,2.9,4.2,6.5,5.8,4.3,2.22392638,3.120665742,-18.54460094,-3.491466104
2003 Q2,3.8,5.9,6.1,-0.7,1,2.6,3.8,5.7,5.5,4.2,2.025506377,1.681237391,-16.13832853,16.02727307
2003 Q3,6.9,6.7,6.1,3,0.9,3.1,4.4,6,6,4,2.720588235,0.661375661,-21.99312715,3.289304675
2003 Q4,4.6,1.6,5.8,1.5,0.9,3.2,4.4,5.8,5.9,4,3.292770222,-1.379763469,-7.04845815,11.91643264
2004 Q1,2.4,2.9,5.7,3.4,0.9,3,4.1,5.5,5.6,4,3.880803881,3.797468354,2.369668246,2.220452609
2004 Q2,3.1,4,5.6,3.2,1.1,3.7,4.7,6.1,6.2,4,4.202801868,4.364569961,-7.407407407,0.952950342
2004 Q3,3.6,2.1,5.4,2.6,1.5,3.5,4.4,5.8,5.9,4.4,3.649167734,6.949569496,-3.5,-2.250417242
2004 Q4,3.4,5.1,5.4,4.4,2,3.5,4.3,5.4,5.7,4.9,3.458925263,2.587694077,-13.98963731,9.709192385
2005 Q1,4.4,-3.8,5.3,2,2.5,3.9,4.4,5.4,5.8,5.4,4.895522388,0.67264574,-12.04819277,-2.628958708
2005 Q2,2.2,3.2,5.1,2.7,2.9,3.9,4.2,5.5,5.7,5.9,4.325554923,3.841870824,21.23287671,1.885317041
2005 Q3,3.3,2.1,5,6.2,3.4,4,4.3,5.5,5.8,6.4,3.38243317,2.305630027,-19.7740113,3.594592087
2005 Q4,2.2,3.3,5,3.8,3.8,4.4,4.6,5.9,6.2,7,2.585751979,4.612159329,16.1971831,1.744701984
2006 Q1,4.9,9.5,4.7,2.1,4.4,4.6,4.7,6,6.2,7.4,2.314814815,1.703406814,-11.51515152,4.996319175
2006 Q2,1.3,0.6,4.6,3.7,4.7,5,5.2,6.5,6.6,7.9,0.050276521,4.384236453,63.01369863,-2.383093525
